"order_item_id";"order_id";"product_id";"quantity"
1;1001;101;1
2;1001;102;2
3;1002;105;1
4;1002;108;3
5;1003;104;1
6;1003;103;1
7;1004;110;2
8;1004;102;1
9;1005;106;1
10;1005;109;2
11;1006;101;1
12;1006;108;5
13;1007;107;1
14;1007;102;2
15;1008;105;1
16;1008;110;1
17;1009;103;2
18;1009;109;1
19;1010;104;1
20;1010;108;4
21;1011;111;1
22;1011;112;2
23;1012;113;1
24;1013;114;1
25;1014;115;5
26;1015;116;3
27;1016;117;1
28;1017;118;1
29;1018;119;2
30;1019;120;1
31;1020;111;1
32;1021;113;2
33;1022;114;1
34;1023;115;10
35;1024;118;1
36;1025;119;2
37;1026;121;1
38;1026;127;2
39;1027;122;1
40;1027;128;3
41;1028;123;1
42;1028;129;5
43;1029;124;1
44;1030;125;1
45;1031;126;1
46;1032;127;4
47;1033;128;2
48;1034;130;1
49;1035;131;3
50;1036;132;2
51;1037;133;1
52;1038;134;2
53;1039;135;1
54;1040;136;1
55;1041;137;1
56;1042;138;2
57;1043;139;1
58;1044;140;3
59;1045;121;1
60;1045;134;2
61;1046;122;1
62;1046;127;2
63;1047;123;1
64;1047;136;1
65;1048;124;1
66;1048;138;1
67;1049;125;1
68;1049;129;4
69;1050;126;1
70;1050;140;2
71;1031;121;1
72;1033;135;1
73;1035;137;2
74;1037;138;1
75;1039;122;1
76;1041;123;2
77;1043;124;1
78;1045;130;1
79;1047;131;2
80;1049;132;3
