"product_id";"product_name";"category";"price"
101;"Laptop";"Electronics";55000.0
102;"Mouse";"Electronics";700.0
103;"Keyboard";"Electronics";1200.0
104;"Monitor";"Electronics";12000.0
105;"Mobile Phone";"Electronics";25000.0
106;"Office Chair";"Furniture";5000.0
107;"Study Table";"Furniture";7000.0
108;"Water Bottle";"Accessories";500.0
109;"Backpack";"Accessories";1500.0
110;"Headphones";"Electronics";2500.0
111;"Smart Watch";"Electronics";3500.0
112;"USB Cable";"Electronics";300.0
113;"Power Bank";"Electronics";1500.0
114;"Bluetooth Speaker";"Electronics";2800.0
115;"Notebook";"Stationery";100.0
116;"Pen Set";"Stationery";250.0
117;"Desk Lamp";"Furniture";900.0
118;"Printer";"Electronics";8500.0
119;"Gaming Mouse";"Electronics";1800.0
120;"Webcam";"Electronics";2200.0
121;"Tablet";"Electronics";18000.0
122;"External Hard Disk";"Electronics";4500.0
123;"Router";"Electronics";2500.0
124;"Microphone";"Electronics";3200.0
125;"Office Desk";"Furniture";8500.0
126;"Bookshelf";"Furniture";6000.0
127;"Coffee Mug";"Accessories";250.0
128;"Phone Stand";"Accessories";350.0
129;"LED Bulb";"Home";180.0
130;"Extension Box";"Home";750.0
131;"Calculator";"Stationery";500.0
132;"Marker Set";"Stationery";300.0
133;"Whiteboard";"Stationery";1200.0
134;"Pendrive 64GB";"Electronics";900.0
135;"SSD 512GB";"Electronics";4200.0
136;"Laptop Bag";"Accessories";1300.0
137;"Wireless Keyboard";"Electronics";2200.0
138;"Wireless Mouse";"Electronics";1500.0
139;"Projector";"Electronics";28000.0
140;"Desk Organizer";"Accessories";450.0
